	class	kingdom	order	phylum
OTU_286	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_287	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_288	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_289	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_29	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_290	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_291	Synechococcophycideae	Bacteria	Pseudanabaenales	Cyanobacteria
OTU_292	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_293	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_294	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_295	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_296	Gammaproteobacteria	Bacteria	Xanthomonadales	Proteobacteria
OTU_297	Betaproteobacteria	Bacteria	Rhodocyclales	Proteobacteria
OTU_298	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_299	4C0d-2	Bacteria	MLE1-12	Cyanobacteria
OTU_3	Synechococcophycideae	Bacteria	Synechococcales	Cyanobacteria
OTU_30	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_300	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_301				
OTU_302	Deltaproteobacteria	Bacteria	GMD14H09	Proteobacteria
OTU_303	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_304				
OTU_305				
OTU_306	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_307	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
